Time,Original,Capacity
2024-09-07 00:00:00,13.35,100
2024-09-07 00:15:00,13.98,100
2024-09-07 00:30:00,12.36,100
2024-09-07 00:45:00,11.17,100
2024-09-07 01:00:00,10.21,100
2024-09-07 01:15:00,9.22,100
2024-09-07 01:30:00,8.09,100
2024-09-07 01:45:00,7.97,100
2024-09-07 02:00:00,6.9,100
2024-09-07 02:15:00,5.53,100
2024-09-07 02:30:00,5.89,100
2024-09-07 02:45:00,5.97,100
2024-09-07 03:00:00,5.28,100
2024-09-07 03:15:00,5.74,100
2024-09-07 03:30:00,4.73,100
2024-09-07 03:45:00,4.03,100
2024-09-07 04:00:00,3.77,100
2024-09-07 04:15:00,3.66,100
2024-09-07 04:30:00,3.45,100
2024-09-07 04:45:00,3.3,100
2024-09-07 05:00:00,3.73,100
2024-09-07 05:15:00,3.82,100
2024-09-07 05:30:00,3.78,100
2024-09-07 05:45:00,3.35,100
2024-09-07 06:00:00,3.87,100
2024-09-07 06:15:00,4.07,100
2024-09-07 06:30:00,3.6,100
2024-09-07 06:45:00,3.3,100
2024-09-07 07:00:00,3.9,100
2024-09-07 07:15:00,3.8,100
2024-09-07 07:30:00,3.78,100
2024-09-07 07:45:00,4.3,100
2024-09-07 08:00:00,4.65,100
2024-09-07 08:15:00,5.94,100
2024-09-07 08:30:00,5.9,100
2024-09-07 08:45:00,6.32,100
2024-09-07 09:00:00,6.01,100
2024-09-07 09:15:00,7.58,100
2024-09-07 09:30:00,7.11,100
2024-09-07 09:45:00,7.61,100
2024-09-07 10:00:00,7.57,100
2024-09-07 10:15:00,7.86,100
2024-09-07 10:30:00,7.85,100
2024-09-07 10:45:00,7.79,100
2024-09-07 11:00:00,8.05,100
2024-09-07 11:15:00,8.66,100
2024-09-07 11:30:00,8.09,100
2024-09-07 11:45:00,9.69,100
2024-09-07 12:00:00,8.49,100
2024-09-07 12:15:00,11.32,100
2024-09-07 12:30:00,9.59,100
2024-09-07 12:45:00,10.42,100
2024-09-07 13:00:00,10.83,100
2024-09-07 13:15:00,10.45,100
2024-09-07 13:30:00,11.25,100
2024-09-07 13:45:00,10.67,100
2024-09-07 14:00:00,11.79,100
2024-09-07 14:15:00,12.05,100
2024-09-07 14:30:00,11.61,100
2024-09-07 14:45:00,12.27,100
2024-09-07 15:00:00,12.73,100
2024-09-07 15:15:00,11.68,100
2024-09-07 15:30:00,11.82,100
2024-09-07 15:45:00,12.67,100
2024-09-07 16:00:00,11.93,100
2024-09-07 16:15:00,11.63,100
2024-09-07 16:30:00,12.98,100
2024-09-07 16:45:00,12.27,100
2024-09-07 17:00:00,12.4,100
2024-09-07 17:15:00,11.64,100
2024-09-07 17:30:00,10.89,100
2024-09-07 17:45:00,11.12,100
2024-09-07 18:00:00,11.28,100
2024-09-07 18:15:00,11.66,100
2024-09-07 18:30:00,11.6,100
2024-09-07 18:45:00,10.54,100
2024-09-07 19:00:00,10.59,100
2024-09-07 19:15:00,11.31,100
2024-09-07 19:30:00,11.09,100
2024-09-07 19:45:00,11.48,100
2024-09-07 20:00:00,13.57,100
2024-09-07 20:15:00,11.43,100
2024-09-07 20:30:00,10.45,100
2024-09-07 20:45:00,11.37,100
2024-09-07 21:00:00,12.24,100
2024-09-07 21:15:00,12.94,100
2024-09-07 21:30:00,13.95,100
2024-09-07 21:45:00,13.79,100
2024-09-07 22:00:00,14.6,100
2024-09-07 22:15:00,15.2,100
2024-09-07 22:30:00,15.31,100
2024-09-07 22:45:00,15.13,100
2024-09-07 23:00:00,13.67,100
2024-09-07 23:15:00,14.8,100
2024-09-07 23:30:00,14.55,100
2024-09-07 23:45:00,14.55,100
2024-09-08 00:00:00,12.92,100
2024-09-08 00:15:00,13.32,100
2024-09-08 00:30:00,12.53,100
2024-09-08 00:45:00,10.75,100
2024-09-08 01:00:00,10.67,100
2024-09-08 01:15:00,9.33,100
2024-09-08 01:30:00,7.95,100
2024-09-08 01:45:00,6.9,100
2024-09-08 02:00:00,6.55,100
2024-09-08 02:15:00,6.43,100
2024-09-08 02:30:00,5.83,100
2024-09-08 02:45:00,5.61,100
2024-09-08 03:00:00,5.59,100
2024-09-08 03:15:00,4.67,100
2024-09-08 03:30:00,4.31,100
2024-09-08 03:45:00,4.22,100
2024-09-08 04:00:00,3.89,100
2024-09-08 04:15:00,3.72,100
2024-09-08 04:30:00,3.74,100
2024-09-08 04:45:00,3.57,100
2024-09-08 05:00:00,3.11,100
2024-09-08 05:15:00,3.12,100
2024-09-08 05:30:00,3.45,100
2024-09-08 05:45:00,2.81,100
2024-09-08 06:00:00,3.11,100
2024-09-08 06:15:00,3.21,100
2024-09-08 06:30:00,3.05,100
2024-09-08 06:45:00,2.84,100
2024-09-08 07:00:00,2.63,100
2024-09-08 07:15:00,3.24,100
2024-09-08 07:30:00,3.16,100
2024-09-08 07:45:00,3.8,100
2024-09-08 08:00:00,7.42,100
2024-09-08 08:15:00,4.6,100
2024-09-08 08:30:00,4.65,100
2024-09-08 08:45:00,4.96,100
